id,id2,state,districtNumber,districtName,party,district_url,representative,representative_photo_url,total_awards
5001500US3102,3102,Nebraska,2,ta-ordinal-nd-m,republican,https://en.wikipedia.org/wiki/Nebraska%27s_2nd_congressional_district,Don Bacon,https://upload.wikimedia.org/wikipedia/commons/e/ea/Donald_Bacon_Official_House_Photo_%28cropped%29.jpg,128660.81
5001500US3103,3103,Nebraska,3,ta-ordinal-rd-m,republican,https://en.wikipedia.org/wiki/Nebraska%27s_3rd_congressional_district,Adrian Smith,https://upload.wikimedia.org/wikipedia/commons/f/fd/Adriansmith.jpg,0
5001500US3201,3201,Nevada,1,ta-ordinal-st-m,democrat,https://en.wikipedia.org/wiki/Nevada%27s_1st_congressional_district,Dina Titus,https://upload.wikimedia.org/wikipedia/commons/a/a0/Dina_Titus_official_photo_%28cropped%29.jpg,18660
5001500US3202,3202,Nevada,2,ta-ordinal-nd-m,republican,https://en.wikipedia.org/wiki/Nevada%27s_2nd_congressional_district,Mark Amodei,https://upload.wikimedia.org/wikipedia/commons/5/52/Mark_Amodei_official_photo_%28cropped_2%29.jpg,97849.4
5001500US3203,3203,Nevada,3,ta-ordinal-rd-m,democrat,https://en.wikipedia.org/wiki/Nevada%27s_3rd_congressional_district,Jacky Rosen,https://upload.wikimedia.org/wikipedia/commons/2/21/Jacky_Rosen.jpg,2802046.15
5001500US3204,3204,Nevada,4,ta-ordinal-th-m,democrat,https://en.wikipedia.org/wiki/Nevada%27s_4th_congressional_district,Ruben Kihuen,https://upload.wikimedia.org/wikipedia/commons/4/4b/Rep._Ruben_Kihuen_%28cropped%29.jpg,0
5001500US3301,3301,New Hampshire,1,ta-ordinal-st-m,democrat,https://en.wikipedia.org/wiki/New_Hampshire%27s_1st_congressional_district,Carol Shea-Porter,https://upload.wikimedia.org/wikipedia/commons/2/24/Carol_Shea-Porter_%28cropped%29.jpg,2005958.8399999999
5001500US3302,3302,New Hampshire,2,ta-ordinal-nd-m,democrat,https://en.wikipedia.org/wiki/New_Hampshire%27s_2nd_congressional_district,Ann McLane Kuster,https://upload.wikimedia.org/wikipedia/commons/b/b1/Ann_McLane_Kuster_official_photo_%28cropped_2%29.jpg,2667868.1500000004
5001500US3401,3401,New Jersey,1,ta-ordinal-st-m,democrat,https://en.wikipedia.org/wiki/New_Jersey%27s_1st_congressional_district,Donald Norcross,https://upload.wikimedia.org/wikipedia/commons/9/9c/Donald_Norcross_official_portrait_%28cropped%29.jpg,33227.04
5001500US3402,3402,New Jersey,2,ta-ordinal-nd-m,republican,https://en.wikipedia.org/wiki/New_Jersey%27s_2nd_congressional_district,Frank LoBiondo,https://upload.wikimedia.org/wikipedia/commons/7/70/Frank_A._LoBiondo_113th_Congress.jpg,8000
