id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified,rt_text
1237850715927674884,https://twitter.com/ACDSCGOTLVETWTS/status/1237850715927674884,Wed Mar 11 21:19:43 +0000 2020,2020-03-11 21:19:43+00:00,ACDSCGOTLVETWTS,"This is how the world ends, not with a bang but with a shitty mexican beer",original,,,,,0,,,,en,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1121457485447958528,Thu Apr 25 16:54:34 +0000 2019,False,,682,5,26,0,,Dev,337,,,False,
1237840111116537860,https://twitter.com/FlisaFakto/status/1237840111116537860,Wed Mar 11 20:37:35 +0000 2020,2020-03-11 20:37:35+00:00,FlisaFakto,"@fuchsiablix Hjemleveringen til Meny er også nede for telling nå. Også på selveste Trippel Trumf-aften. This is how the world ends, not with a bang but with a trippel trumf-kollaps.",reply,,,,,1,fuchsiablix,1237833926498025486,25360288,da,,,0,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",21617138,Mon Feb 23 00:50:45 +0000 2009,False,Snubler lett,21088,317,563,5,"Bergen, Norway",Elisa,10186,,,False,
1237830773769723906,https://twitter.com/JeffB_Media/status/1237830773769723906,Wed Mar 11 20:00:28 +0000 2020,2020-03-11 20:00:28+00:00,JeffB_Media,"So this is how the longest bull market in history goes out. Not with a bang, but with a sniffle.",original,,,,,0,,,,en,,,0,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",314114415,Thu Jun 09 18:49:19 +0000 2011,False,"Strategic comms guy, policy wonk, amateur historian, rhetorician, Ukrainian-Canadian, expat Windsorite. He/him. Views are mine alone. RTs are not endorsements.",1801,1770,826,51,"St. Catharines, ON",Jeff Bolichowski,26209,,,False,
1237824841950076928,https://twitter.com/AnitaMEndeman/status/1237824841950076928,Wed Mar 11 19:36:54 +0000 2020,2020-03-11 19:36:54+00:00,AnitaMEndeman,"RT @BotrosAbuDjej: This is the way the rage ends
This is the way the trolling ends
This is the way the revolution ends
Not with a bang but…",retweet,,,,,0,,,,en,,,18,1237539399899869185,BotrosAbuDjej,1206173693161938945,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2553074042,Sat Jun 07 18:23:32 +0000 2014,False,#democrat #activist #nevertrump #marchforoulives #savethewhales #savetheoceans #bangunsforever Opinions are my own and I will fight for them. Computer Science,48796,853,3493,26,"Queens, NY",Anita M endeman (#PrismSofia RS3),41392,,,False,"This is the way the rage ends
This is the way the trolling ends
This is the way the revolution ends
Not with a bang but with a whimper. 

#DropOutBernie https://t.co/3QOh67fjrz"
1237812489913602051,https://twitter.com/loservirgin/status/1237812489913602051,Wed Mar 11 18:47:49 +0000 2020,2020-03-11 18:47:49+00:00,loservirgin,This is the way the world ends. / Not with a bang but with a simper.,original,,,,,2,,,,en,,,0,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2578856251,Fri Jun 20 15:20:28 +0000 2014,False,Aspiring limousine liberal. Poet. Loser.,18949,124,944,1,Brooklyn,Judee Shrill,789,,,False,
1237806251184193537,https://twitter.com/joe_congdon/status/1237806251184193537,Wed Mar 11 18:23:02 +0000 2020,2020-03-11 18:23:02+00:00,joe_congdon,@warriors @benshapiro And thus the end came... Not with a bang... But with a whimper.,reply,,,,,2,warriors,1237803013177131009,26270913,en,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",3741597688,Tue Sep 22 18:49:10 +0000 2015,False,"Musician and Jester. I want to make you laugh and think. 
Saved by Jesus",2322,41,114,3,"New Braunfels, TX",Joe Congdon,2375,,,False,
1237799068253990913,https://twitter.com/javedhassan/status/1237799068253990913,Wed Mar 11 17:54:29 +0000 2020,2020-03-11 17:54:29+00:00,javedhassan,"“Shape without form, shade without colour,
Paralysed force, gesture without motion…

This is the way the world ends
This is the way the world ends
This is the way the world ends
Not with a bang but with a whimper""",reply,,,,,2,javedhassan,1237799012461412354,63172310,en,"Paddington, London",,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",63172310,Wed Aug 05 16:03:57 +0000 2009,False,"#ImperialCollege #LondonBusinessSchool, #NAVTTC, #IGI, #Barings, Scribble for amusement, 🐝 beekeeper",7768,3025,389,8,"Islamabad, Pakistan",Javed,12418,,https://2ndteacher.wordpress.com/,False,
1237792858666663941,https://twitter.com/bdbsport/status/1237792858666663941,Wed Mar 11 17:29:49 +0000 2020,2020-03-11 17:29:49+00:00,bdbsport,"@STROSFANuknow This is how the world ends. Not with a bang, but with a whimper.",reply,,,,,0,STROSFANuknow,1237791092197687296,1149451609858084865,en,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",4765892120,Sat Jan 16 02:03:50 +0000 2016,False,Hot sports takes and confusing references. RTs are endorsements and in return would like a plaque like the one you gave Arby's. #Texans #Rockets #Astros #Bruins,12012,342,565,28,"Houston, TX",Coach Middlescreen,27574,,,False,
1237783536079421440,https://twitter.com/Krisannthemum21/status/1237783536079421440,Wed Mar 11 16:52:46 +0000 2020,2020-03-11 16:52:46+00:00,Krisannthemum21,"“This is the way the world ends, not with a bang, but with a dry unproductive cough.” -T.S. Eliot",original,,,,,0,,,,en,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",575035206,Wed May 09 01:49:55 +0000 2012,False,"I am Crying Shame, I am Takes the Blame. My left foot is named Self-Pity and my right foot is named Born to Lose.",708,90,194,2,"Wisconsin, USA",Ginger Grant,1536,,,False,
1237782883420573697,https://twitter.com/richturcotte/status/1237782883420573697,Wed Mar 11 16:50:10 +0000 2020,2020-03-11 16:50:10+00:00,richturcotte,"""no question that Trump presidency has already taken template of untethered executive &amp; its anti-democratic excesses to a new level, simultaneously defying restraints while brazenly purging anyone who might disagree w/him"" Karen J Greenberg https://t.co/QhwVe26G3v",original,,,,https://www.salon.com/2020/03/01/how-democracy-ends-not-with-a-bang-but-with-a-whimper_partner/,0,,,,en,,False,0,,,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",1424144498,Sun May 12 22:15:15 +0000 2013,False,We need to pause for a moment and ask ourselves What Happens Then? if we continue to stoke our white-hot partisan fires,1,30,81,2,,Richard Turcotte,6396,,http://richardturcotte.com,False,
