Latitude,Longitude,Name,County,State,Address,Duration,Type,Owner
31.831341,-106.378838,FSL La Tuna,,Texas,"SSG Sims Road Building 11636 El Paso, TX, 79906",,,
34.767281,-106.018581,Torrance County Detention Facility,,New Mexico,"209 County Road A049 Estancia, NM, 87016",,,
30.788608,-92.423115,Pine Prairie ICE Processing Center,,Louisiana,"1133 Hampton Dupre Road Pine Prairie, LA, 70576",,,
30.697676,-95.006068,IAH Secure Adult Detention Facility,,Texas,"3400 FM 350 South Livingston, TX, 77351",,,
32.817747,-111.520047,Eloy Detention Center,,Arizona,"1705 E Hanna Rd Eloy , AZ, 85131",,,
33.064284,-111.382416,Florence SPC,,Arizona,"3250 N. Pinal Parkway Florence, AZ, 85132",,,
33.044161,-111.377164,Central Arizona Correctional Center,,Arizona,"1155 North Pinal Parkway Florence, AZ, 85132",,,
33.037121,-111.371352,Florence Correctional Center,,Arizona,"1100 Bowling Road Florence, AZ, 85132",,,
32.690755,-115.39788,Imperial Regional Detention Facility,,California,"1572 Gateway Road Calexico, CA, 92231",,,
32.575024,-116.914764,Otay Mesa Detention Center,,California,"7488 Calzada de la Fuente San Diego, CA, 92231",,,
34.558278,-117.441836,Adelanto ICE Processing Center,,California,"Adelanto West 10250 Rancho Road Adelanto, CA, 92301",,,
35.379968,-119.006438,Mesa Verde ICE Processing Facility,,California,"425 Golden State Avenue Bakersfield, CA, 93301",,,
36.252981,-115.975284,Nevada Southern Detention Center,,Nevada,"2190 E Mesquite Avenue Pahrump, NV, 89048",,,
